"","academicyear","instname","control","hbcu","hsi","medical","nettuition01","tuition_reliance_a1","appliedaid01","grant01","tuition_discount","fed_grant_pct","fed_grant_avg_amount","inst_grant_avg_amount","loan_num","loan_avg_amount","tuition01_tf","fee01_tf","education_share","instruction_share","studserv_share","eandr_degree","average_subsidy","nettuition_share","gross_operating_margin","fringe_benefit_play","instr_sal_as_pct_instrtot","acadsupp_sal_as_pct_acadsupptot","assets06","totaldegrees_100fte","bach_deg_share_of_tot_deg","ftretention_rate","fall_cohort_num","fall_cohort_pct","total_enrollment_amin_tot","total_enrollment_asian_tot","total_enrollment_black_tot","total_enrollment_hisp_tot","total_enrollment_white_tot","total_enrollment_multi_tot","applcn","enrollftcount","enrollptcount","NumStudSubACT","NumStudSubSAT","instacttype","ft_executive_per_100fte","full_time_employee_share","ft_faculty_salary","full_time_employee_100fte","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NV","NY","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VA","VI","VT","WA","WI","WV","WY"
"1054",2012,"Palm Beach Atlantic University-West Palm Beach",1,0,0,0,49549881,0.935170609,16428032,4243984,0.248992902,34,4323,9568,305,6268,23800,300,1,0.407581718,0.151164105,68442.81321,4314613,0.919898756,-2082951,1.174581207,0.784075044,0.267601863,196323019,25.00794407,0.639135959,0.72,476,17,10,119,535,410,1941,10,1373,477,1,1,1,2,1.42993327,0.702317291,64274.92308,12.51986018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1055",2012,"University of Miami",1,0,0,1,425737398,0.419225729,174067800,9936689,0.297842775,15,5257,24283,739,7399,38440,1214,0.559904974,0.674379139,0.056403914,149445.1355,219716142.2,0.659594179,-73973269,1.282554764,0.601962779,0.543096425,3180301461,28.31759769,0.562398703,0.91,2139,20,37,910,1070,3600,7090,263,27747,2139,33,1,1,2,15.60451088,0.857826793,96009.67114,65.78809336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1056",2012,"Jacksonville University",1,0,0,0,43941855,0.839039509,32751797,4799196,0.393644941,36,4677,16005,310,7694,27900,0,0.955470645,0.394578889,0.255870286,54878.23533,13351022.69,0.766968893,3655416,1.230221606,0.681533634,0.558072214,171205635,36.3256785,0.820881226,0.6,515,16,41,163,692,244,2218,0,8096,520,9,1,1,2,3.201113431,0.785381026,64502.6875,17.57132916,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1057",2012,"University of Florida",0,0,0,1,385747000,0.181882178,141554000,46556000,0.165140136,33,4652,3414,1957,5380,4060,1597,0.412905124,0.792717816,0.025468831,57685.98568,461602443.7,0.455239574,-5015000,1.238604266,0.674238398,0.55649201,2992627000,32.32258774,0.5855402,0.95,6408,20,163,3878,3665,7057,28209,894,27295,6395,56,1,1,2,1.472109143,0.701826231,89091.16544,27.90626031,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1058",2012,"Florida State University",0,0,0,1,217227882,0.289554384,123276336,43654161,0.327968188,28,4375,2465,2534,6972,3100,2726,0.658119941,0.681430488,0.080851233,40680.90162,230872249.4,0.484775314,-1670535,1.230842303,0.674476883,0.543647398,2498729191,29.51342372,0.713572401,0.92,6093,19,159,1179,3761,5471,27558,724,28313,6105,30,1,1,2,1.055677616,0.606784969,83038.49801,15.57526392,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1059",2012,"Florida Southern College",1,0,0,0,34011265,0.912239005,17070279,3013016,0.377698362,33,4177,13669,332,12024,25529,583,1,0.325697575,0.231575996,77405.32939,11812690,0.742215834,1860340,1.240684179,0.660417316,0.320955202,180563797,26.55899507,0.890202703,0.77,525,23,11,39,148,182,1801,49,3159,525,0,1,1,2,2.243158367,0.72920354,59649.59434,18.48362494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1060",2012,"Florida International University",0,0,1,0,258910545,0.477494008,89722332,81922604,0.100320327,54,4471,1631,1182,5468,3580,1618,0.762621426,0.548468297,0.119253749,42010.41436,188332326.3,0.578903682,-27357780,1.210310508,0.657292268,0.576444744,1251335031,30.46152966,0.679879767,0.82,4164,12,46,1408,5302,27262,6091,662,20736,4169,372,1,1,2,2.045838221,0.689956332,82913.71636,11.75427051,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1061",2012,"Florida Institute of Technology",1,0,0,0,90940108,0.820881259,33215007,3049742,0.267528301,24,5439,15687,372,6581,34430,560,0.753960847,0.555262043,0.135688244,55407.99425,-10210660.38,1.126479998,2968337,1.242477172,0.617568225,0.44306678,185802468,22.0657277,0.357584077,0.8,668,25,55,235,1442,549,4376,101,6841,668,1,1,1,2,0.787520824,0.579439252,76844.22845,13.14553991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1062",2009,"Florida Hospital College of Health Sciences",1,0,0,0,16502485,0.979023922,33853,1261857,0.015585528,45,2792,2029,28,5827,8250,520,1,0.651007244,0.027042553,35208.71542,5643797,0.745158262,349891,1.249223243,0.488606884,0.664138409,14326012,45.60922708,0.612082671,0.7,55,2,9,142,353,342,1370,78,269,74,16,0,0,2,2.392852931,0.579136691,51908.1087,11.67422188,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1063",2012,"Florida Hospital College of Health Sciences",1,0,0,0,21035248,0.981212532,98978,2489408,0.019703563,85,2930,481,22,5439,9450,580,1,0.519359456,0.023179958,39140.69187,6402377,0.766657027,84449,1.243012354,0.56357836,0.648972089,19527412,47.81718963,0.636233951,0.93,26,1,13,160,412,437,1374,35,262,66,16,1,1,2,2.251023192,0.493796526,61059.68333,13.57435198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1064",2012,"Florida College",1,0,0,0,4674047,0.405593824,1016184,735039,0.346553995,30,4076,4005,113,6207,12400,780,1,0.472492914,0.101923469,49571.41615,3306951,0.585646933,2351514,1.156023598,0.762537706,0.552648109,46925553,33.26446281,0.329192547,0.72,198,39,2,5,25,28,424,14,359,198,2,1,1,2,1.033057851,0.741071429,52938.60526,17.14876033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1065",2012,"Florida Atlantic University",0,0,0,0,124386765,0.378505042,46600821,44303254,0.228150048,39,4616,3066,1470,5699,2480,1784,0.841659198,0.560770358,0.064795628,42071.7316,149878853.3,0.453526642,-28275248,1.278039112,0.650079026,0.536446877,1029514847,29.85436893,0.750421844,0.79,3207,13,61,1300,5100,6275,15070,543,28197,3209,138,1,1,2,1.268547353,0.60720248,70866.10354,11.65964462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1066",2012,"Florida Agricultural and Mechanical University",0,1,0,0,72758208,0.319712151,32796710,36139163,0.240922378,68,5089,6056,1572,6187,3100,2087,0.73270648,0.520199911,0.048199822,75831.35614,88459255.16,0.451304757,1392030,1.204819282,0.706538162,0.588324305,691690208,17.10515729,0.689557855,0.79,1941,17,30,133,12077,231,607,12,7322,1806,24,1,1,2,1.424088825,0.809613572,69857.08492,13.82251187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
